attempt_id,case_id,variant_id,repetition,request_mode,status,api_called,weighted_score,passed,critical_failures,groundedness,citation_quality,mode_fulfillment,completeness,relevance_clarity,uncertainty_handling,latency_ms,input_tokens,output_tokens,estimated_cost_usd,error_type,error_message
comparison_traceability_maintenance::decision_ready_v1::r1,comparison_traceability_maintenance,decision_ready_v1,1,framework_comparison,success,True,3.7308,True,,2.9231,4.0,4.0,4.0,4.0,4.0,14041.865,3721,1273,0.00347625,,
comparison_traceability_maintenance::evidence_first_v1::r1,comparison_traceability_maintenance,evidence_first_v1,1,framework_comparison,success,True,3.85,True,,3.4,4.0,4.0,4.0,4.0,4.0,15150.23,3720,1172,0.003274,,
comparison_traceability_maintenance::production_baseline_v1::r1,comparison_traceability_maintenance,production_baseline_v1,1,framework_comparison,success,True,3.7391,True,,2.9565,4.0,4.0,4.0,4.0,4.0,12282.686,3657,987,0.00288825,,
comparison_validation_verification::decision_ready_v1::r1,comparison_validation_verification,decision_ready_v1,1,framework_comparison,success,True,3.6408,True,,2.963,4.0,4.0,4.0,3.0,4.0,13592.372,3794,1229,0.0034065,,
comparison_validation_verification::evidence_first_v1::r1,comparison_validation_verification,evidence_first_v1,1,framework_comparison,error,True,,,,,,,,,,12270.53,3755,2400,0.00573875,GroundedResponseValidationError,Declared citation identifiers must match the citations used in the answer.
comparison_validation_verification::production_baseline_v1::r1,comparison_validation_verification,production_baseline_v1,1,framework_comparison,success,True,3.7647,True,,3.0588,4.0,4.0,4.0,4.0,4.0,10666.645,3730,979,0.0028905,,
conflict_approval_scope::decision_ready_v1::r1,conflict_approval_scope,decision_ready_v1,1,source_conflict_review,success,True,3.6,True,,4.0,4.0,4.0,4.0,4.0,0.0,4730.123,626,553,0.0012625,,
conflict_approval_scope::evidence_first_v1::r1,conflict_approval_scope,evidence_first_v1,1,source_conflict_review,success,True,3.6,True,,4.0,4.0,4.0,4.0,4.0,0.0,3375.79,625,296,0.00074825,,
conflict_approval_scope::production_baseline_v1::r1,conflict_approval_scope,production_baseline_v1,1,source_conflict_review,success,True,3.4333,True,,3.3333,4.0,4.0,4.0,4.0,0.0,8881.36,562,453,0.0010465,,
conflict_baseline_retention::decision_ready_v1::r1,conflict_baseline_retention,decision_ready_v1,1,source_conflict_review,success,True,3.45,True,,2.2,4.0,4.0,4.0,4.0,3.0,7875.553,633,854,0.00186625,,
conflict_baseline_retention::evidence_first_v1::r1,conflict_baseline_retention,evidence_first_v1,1,source_conflict_review,success,True,3.5714,True,,2.2857,4.0,4.0,4.0,4.0,4.0,8055.25,632,1089,0.002336,,
conflict_baseline_retention::production_baseline_v1::r1,conflict_baseline_retention,production_baseline_v1,1,source_conflict_review,success,True,3.6923,True,,2.7692,4.0,4.0,4.0,4.0,4.0,6410.402,569,800,0.00174225,,
grounded_partial_evidence::decision_ready_v1::r1,grounded_partial_evidence,decision_ready_v1,1,grounded_question,success,True,1.5,False,unexpected_insufficient_evidence_response|minimum_citations_not_met,0.0,0.0,4.0,4.0,1.0,0.0,1790.665,377,205,0.00050425,,
grounded_partial_evidence::evidence_first_v1::r1,grounded_partial_evidence,evidence_first_v1,1,grounded_question,success,True,1.5,False,unexpected_insufficient_evidence_response|minimum_citations_not_met,0.0,0.0,4.0,4.0,1.0,0.0,2360.17,376,273,0.00064,,
grounded_partial_evidence::production_baseline_v1::r1,grounded_partial_evidence,production_baseline_v1,1,grounded_question,success,True,3.6,True,,4.0,4.0,4.0,4.0,4.0,0.0,3791.256,313,394,0.00086625,,
grounded_prioritization_factors::decision_ready_v1::r1,grounded_prioritization_factors,decision_ready_v1,1,grounded_question,success,True,3.8636,True,,3.4545,4.0,4.0,4.0,4.0,4.0,11264.294,3615,1060,0.00302375,,
grounded_prioritization_factors::evidence_first_v1::r1,grounded_prioritization_factors,evidence_first_v1,1,grounded_question,success,True,4.0,True,,4.0,4.0,4.0,4.0,4.0,4.0,6845.795,3614,625,0.0021535,,
grounded_prioritization_factors::production_baseline_v1::r1,grounded_prioritization_factors,production_baseline_v1,1,grounded_question,success,True,4.0,True,,4.0,4.0,4.0,4.0,4.0,4.0,6120.789,3551,584,0.00205575,,
grounded_traceability_definition::decision_ready_v1::r1,grounded_traceability_definition,decision_ready_v1,1,grounded_question,success,True,3.7619,True,,3.0476,4.0,4.0,4.0,4.0,4.0,8697.833,3621,822,0.00254925,,
grounded_traceability_definition::evidence_first_v1::r1,grounded_traceability_definition,evidence_first_v1,1,grounded_question,success,True,4.0,True,,4.0,4.0,4.0,4.0,4.0,4.0,8788.049,3620,711,0.002327,,
grounded_traceability_definition::production_baseline_v1::r1,grounded_traceability_definition,production_baseline_v1,1,grounded_question,success,True,4.0,True,,4.0,4.0,4.0,4.0,4.0,4.0,9051.48,3557,423,0.00173525,,
insufficient_vendor_threshold::decision_ready_v1::r1,insufficient_vendor_threshold,decision_ready_v1,1,grounded_question,success,False,4.0,True,,4.0,4.0,4.0,4.0,4.0,4.0,61.939,0,0,0.0,,
insufficient_vendor_threshold::evidence_first_v1::r1,insufficient_vendor_threshold,evidence_first_v1,1,grounded_question,success,False,4.0,True,,4.0,4.0,4.0,4.0,4.0,4.0,0.121,0,0,0.0,,
insufficient_vendor_threshold::production_baseline_v1::r1,insufficient_vendor_threshold,production_baseline_v1,1,grounded_question,success,False,4.0,True,,4.0,4.0,4.0,4.0,4.0,4.0,0.151,0,0,0.0,,
outline_stakeholder_analysis::decision_ready_v1::r1,outline_stakeholder_analysis,decision_ready_v1,1,deliverable_outline,success,True,3.4546,True,,2.6182,4.0,4.0,4.0,2.0,4.0,16370.136,4014,1747,0.0044975,,
outline_stakeholder_analysis::evidence_first_v1::r1,outline_stakeholder_analysis,evidence_first_v1,1,deliverable_outline,error,True,,,,,,,,,,16489.438,3975,2400,0.00579375,GroundedResponseValidationError,Declared citation identifiers must match the citations used in the answer.
outline_stakeholder_analysis::production_baseline_v1::r1,outline_stakeholder_analysis,production_baseline_v1,1,deliverable_outline,success,True,3.369,True,,2.2759,4.0,4.0,4.0,2.0,4.0,17393.061,3950,1899,0.0047855,,
outline_traceability_matrix::decision_ready_v1::r1,outline_traceability_matrix,decision_ready_v1,1,deliverable_outline,success,True,3.4286,True,,2.5143,4.0,4.0,4.0,2.0,4.0,14709.503,3821,1642,0.00423925,,
outline_traceability_matrix::evidence_first_v1::r1,outline_traceability_matrix,evidence_first_v1,1,deliverable_outline,success,True,3.4618,True,,2.6471,4.0,4.0,4.0,2.0,4.0,17623.459,3820,1809,0.004573,,
outline_traceability_matrix::production_baseline_v1::r1,outline_traceability_matrix,production_baseline_v1,1,deliverable_outline,error,True,,,,,,,,,,18767.719,3719,2400,0.00572975,GroundedResponseValidationError,Declared citation identifiers must match the citations used in the answer.
scenario_approved_requirement_change::decision_ready_v1::r1,scenario_approved_requirement_change,decision_ready_v1,1,scenario_analysis,success,True,3.65,True,,3.0,4.0,4.0,4.0,3.0,4.0,14272.709,3787,1417,0.00378075,,
scenario_approved_requirement_change::evidence_first_v1::r1,scenario_approved_requirement_change,evidence_first_v1,1,scenario_analysis,error,True,,,,,,,,,,15540.89,3748,2400,0.005737,GroundedResponseValidationError,"Malformed citation token: [S2,S4]"
scenario_approved_requirement_change::production_baseline_v1::r1,scenario_approved_requirement_change,production_baseline_v1,1,scenario_analysis,success,True,3.92,True,,3.68,4.0,4.0,4.0,4.0,4.0,12444.371,3723,1184,0.00329875,,
scenario_stakeholder_unavailable::decision_ready_v1::r1,scenario_stakeholder_unavailable,decision_ready_v1,1,scenario_analysis,error,True,,,,,,,,,,13807.696,3571,2400,0.00569275,GroundedResponseValidationError,"Malformed citation token: [S3, S1, S2, S5, S4]"
scenario_stakeholder_unavailable::evidence_first_v1::r1,scenario_stakeholder_unavailable,evidence_first_v1,1,scenario_analysis,success,True,3.7947,True,,3.5789,4.0,4.0,4.0,3.0,4.0,13972.017,3608,1313,0.003528,,
scenario_stakeholder_unavailable::production_baseline_v1::r1,scenario_stakeholder_unavailable,production_baseline_v1,1,scenario_analysis,error,True,,,,,,,,,,11003.383,3507,2400,0.00567675,GroundedResponseValidationError,Declared citation identifiers must match the citations used in the answer.
